number	skill_id	name	category
2	70	Website Analytics	sales & marketing
2	1164	Cartography & Maps	writing and languages
2	501	Data Interchange	it web & mobile
2	224	Autodesk Inventor	manufacture & engineering
2	888	System Programming	it web & mobile
2	1079	Label & Package Design	design & multimedia
2	184	Employment Law	legal
2	585	Hadoop	it web & mobile
2	1301	data analysis	unknown
2	32	Google Website Optimizer	sales & marketing
2	1062	Fashion Modeling	design & multimedia
2	618	Java ME	it web & mobile
2	942	Web Server	it web & mobile
2	976	YouTube Development	it web & mobile
2	1237	Resume Writing	writing and languages
2	831	Salesforce.com Development	it web & mobile
2	451	CakePHP	it web & mobile
2	1081	Landing Pages	design & multimedia
2	1336	pre sales	unknown
2	920	Virtual Machine	it web & mobile
2	1222	Newsletters	writing and languages
2	1380	mobile marketing	unknown
2	1315	microsoft power point	unknown
2	1326	integration	unknown
2	126	ITIL	finance & management
2	1241	Sales Letters	writing and languages
2	1358	negociations	unknown
2	1292	strategie	unknown
2	1184	English Grammar	writing and languages
2	1082	Landscape Design	design & multimedia
2	1337	professional services	unknown
2	140	Personal Development	finance & management
2	186	Family Law	legal
2	215	Analog Electronics	manufacture & engineering
2	1223	Non-Fiction Writing	writing and languages
2	709	Network Programming	it web & mobile
2	422	ASP.NET MVC	it web & mobile
2	1065	Final Cut Pro X	design & multimedia
2	747	Oracle Hyperion	it web & mobile
2	570	Google AdWords Development	it web & mobile
2	1293	strategie marketing	unknown
2	1083	Lightwave 3D	design & multimedia
2	793	Prestashop	it web & mobile
2	1349	microsoft windows	unknown
2	1169	Communication	writing and languages
2	630	Joomla!	it web & mobile
2	880	Statistical Computing	it web & mobile
2	1032	Blender	design & multimedia
2	1294	gestion de projet	unknown
2	665	Microsoft Access Administration	it web & mobile
2	1204	Japanese	writing and languages
2	926	Voice Communications	it web & mobile
2	1118	Sound Design	design & multimedia
2	711	Networking & Information Systems	it web & mobile
2	1282	express js	unknown
2	816	Regression Testing	it web & mobile
2	1329	telecommunications	unknown
2	1244	Script Writing	writing and languages
2	274	Instrumentation	manufacture & engineering
2	841	Scalable analytics	it web & mobile
2	14	Bulk Marketing	sales & marketing
2	666	Microsoft Access Programming	it web & mobile
2	530	Drupal	it web & mobile
2	189	Insurance Law	legal
2	1283	objective c	unknown
2	434	Bitcoin	it web & mobile
2	1137	Voice Acting	design & multimedia
2	179	Contract	legal
2	473	CodeIgniter	it web & mobile
2	534	Eclipse	it web & mobile
2	66	Telemarketing	sales & marketing
2	1398	b 2 b	unknown
2	204	Trade Law	legal
2	366	Technical Support	admin support
2	1352	team building	unknown
2	1284	mongo db	unknown
2	80	Adobe Analytics	finance & management
2	820	REST	it web & mobile
2	1390	facebook	unknown
2	316	Scientific Computation	manufacture & engineering
2	118	Hospitality	finance & management
2	776	PhoneGap	it web & mobile
2	1036	Business Card Design	design & multimedia
2	1189	Fiction Writing	writing and languages
2	677	Microsoft Visual Studio	it web & mobile
2	1342	business alliances	unknown
2	300	Other - Design	manufacture & engineering
2	870	Sphinx	it web & mobile
2	935	Web Application Framework	it web & mobile
2	966	Xcode	it web & mobile
2	260	Finite Element Analysis	manufacture & engineering
